iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	O2 	O 	OH 	H2O 	H 	HO2 	H2O2 	
20 	 2.1000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000000e+02 	2.7431213545e-01 	7.2568786341e-01 	1.9755506290e-12 	5.3462534853e-13 	8.9657490021e-11 	4.4865643702e-12 	1.0427486715e-09 	1.2888657218e-12 	
20 	 2.1000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000055e+02 	5.9266659058e-02 	9.4073333988e-01 	4.0685977035e-12 	1.0998049800e-12 	1.1997356742e-10 	1.5353487124e-12 	9.3962228862e-10 	6.9321167967e-13 	
20 	 2.1000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000023e+02 	1.4383656934e-01 	8.5616342938e-01 	2.7715124717e-12 	7.4903263227e-13 	1.1717339081e-10 	2.7875990904e-12 	1.1482229534e-09 	1.2257664428e-12 	
21 	 2.2000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000001e+02 	2.7431213545e-01 	7.2568786334e-01 	1.9899381159e-12 	5.3835539976e-13 	9.5707491209e-11 	4.5156109511e-12 	1.1018748625e-09 	1.4290555200e-12 	
21 	 2.2000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000060e+02 	5.9266659055e-02 	9.4073333982e-01 	4.0765278088e-12 	1.1017207708e-12 	1.2721428483e-10 	1.5375206056e-12 	9.8987141578e-10 	7.6679899883e-13 	
21 	 2.2000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000026e+02 	1.4383656934e-01 	8.5616342932e-01 	2.7779764926e-12 	7.5066180133e-13 	1.2434786702e-10 	2.7929495033e-12 	1.2102525501e-09 	1.3565852092e-12 	
22 	 2.3000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000002e+02 	2.7431213545e-01 	7.2568786328e-01 	2.0024126285e-12 	5.4159059545e-13 	1.0179669334e-10 	4.5408171320e-12 	1.1612025717e-09 	1.5769868173e-12 	
22 	 2.3000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000064e+02 	5.9266659053e-02 	9.4073333976e-01 	4.0829438330e-12 	1.1032759398e-12 	1.3446637062e-10 	1.5392958703e-12 	1.0401574764e-09 	8.4422016167e-13 	
22 	 2.3000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000029e+02 	1.4383656934e-01 	8.5616342925e-01 	2.7832786866e-12 	7.5200112544e-13 	1.3153649148e-10 	2.7973656741e-12 	1.2723410501e-09 	1.4942870851e-12 	
23 	 2.4000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000004e+02 	2.7431213545e-01 	7.2568786322e-01 	2.0132405628e-12 	5.4439985142e-13 	1.0791991458e-10 	4.5627177208e-12 	1.2207042429e-09 	1.7326838904e-12 	
23 	 2.4000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000069e+02 	5.9266659050e-02 	9.4073333971e-01 	4.0881684854e-12 	1.1045473534e-12 	1.4172771556e-10 	1.5407590455e-12 	1.0904731721e-09 	9.2547764951e-13 	
23 	 2.4000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000031e+02 	1.4383656934e-01 	8.5616342918e-01 	2.7876559138e-12 	7.5310970005e-13 	1.3873678446e-10 	2.8010380692e-12 	1.3344771843e-09 	1.6388777948e-12 	
24 	 2.5000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000005e+02 	2.7431213544e-01 	7.2568786315e-01 	2.0226512190e-12 	5.4684248688e-13 	1.1407269479e-10 	4.5817730521e-12 	1.2803561572e-09 	1.8961676687e-12 	
24 	 2.5000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000074e+02 	5.9266659048e-02 	9.4073333965e-01 	4.0924556973e-12 	1.1055954956e-12 	1.4899666002e-10 	1.5419766525e-12 	1.1408127597e-09 	1.0105734485e-12 	
24 	 2.5000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000034e+02 	1.4383656933e-01 	8.5616342912e-01 	2.7912967498e-12 	7.5403457379e-13 	1.4594677182e-10 	2.8041183281e-12 	1.3966519811e-09 	1.7903619443e-12 	
25 	 2.6000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000007e+02 	2.7431213544e-01 	7.2568786309e-01 	2.0308419668e-12 	5.4896956075e-13 	1.2025119493e-10 	4.5983793585e-12 	1.3401378988e-09 	2.0674562005e-12 	
25 	 2.6000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000078e+02 	5.9266659046e-02 	9.4073333960e-01 	4.0960052804e-12 	1.1064679599e-12 	1.5627189813e-10 	1.5430010355e-12 	1.1911717205e-09 	1.0995091550e-12 	
25 	 2.6000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000037e+02 	1.4383656933e-01 	8.5616342905e-01 	2.7943513286e-12 	7.5481320434e-13 	1.5316488195e-10 	2.8067271779e-12 	1.4588582981e-09 	1.9487432492e-12 	
26 	 2.7000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000008e+02 	2.7431213544e-01 	7.2568786303e-01 	2.0379826917e-12 	5.5082502193e-13 	1.2645211068e-10 	4.6128776961e-12 	1.4000318950e-09 	2.2465650543e-12 	
26 	 2.7000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000083e+02 	5.9266659043e-02 	9.4073333954e-01 	4.0989744615e-12 	1.1072021961e-12 	1.6355240239e-10 	1.5438733825e-12 	1.2415464986e-09 	1.1922860591e-12 	
26 	 2.7000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000040e+02 	1.4383656933e-01 	8.5616342898e-01 	2.7969391790e-12 	7.5547541354e-13 	1.6038986371e-10 	2.8089607352e-12 	1.5210904489e-09 	2.1140247163e-12 	
27 	 2.8000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000009e+02 	2.7431213544e-01 	7.2568786296e-01 	2.0442196226e-12 	5.5244669937e-13 	1.3267259787e-10 	4.6255616290e-12 	1.4600230203e-09 	2.4335076636e-12 	
27 	 2.8000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000088e+02 	5.9266659041e-02 	9.4073333949e-01 	4.1014869580e-12 	1.1078276727e-12 	1.7083736434e-10 	1.5446261033e-12 	1.2919342964e-09 	1.2889052092e-12 	
27 	 2.8000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000043e+02 	1.4383656933e-01 	8.5616342891e-01 	2.7991554632e-12 	7.5604494394e-13 	1.6762072109e-10 	2.8108955232e-12 	1.5833439064e-09 	2.2862087881e-12 	
28 	 2.9000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000011e+02 	2.7431213543e-01 	7.2568786290e-01 	2.0496786255e-12 	5.5386715430e-13 	1.3891020851e-10 	4.6366838414e-12 	1.5200982555e-09 	2.6282956250e-12 	
28 	 2.9000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000093e+02 	5.9266659039e-02 	9.4073333943e-01 	4.1036401197e-12 	1.1083675775e-12 	1.7812614789e-10 	1.5452847002e-12 	1.3423329122e-09 	1.3893674642e-12 	
28 	 2.9000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000045e+02 	1.4383656932e-01 	8.5616342885e-01 	2.8010759446e-12 	7.5654069815e-13 	1.7485666123e-10 	2.8125924653e-12 	1.6456150666e-09 	2.4652974577e-12 	
29 	 3.0000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000012e+02 	2.7431213543e-01 	7.2568786283e-01 	2.0544680397e-12 	5.5511441376e-13 	1.4516283553e-10 	4.6464618313e-12 	1.5802463943e-09 	2.8309389534e-12 	
